item_id,title,genres,tmdbId
45,How to Make an American Quilt (1995),"['Drama', 'Romance']",11861
46,Seven (Se7en) (1995),"['Crime', 'Thriller']",807
47,Pocahontas (1995),"['Animation', ""Children's"", 'Musical', 'Romance']",10530
48,When Night Is Falling (1995),"['Drama', 'Romance']",8391
49,"Usual Suspects, The (1995)","['Crime', 'Thriller']",629
50,Mighty Aphrodite (1995),['Comedy'],11448
51,Lamerica (1994),['Drama'],49133
52,"Big Green, The (1995)","[""Children's"", 'Comedy']",26441
53,Georgia (1995),['Drama'],97406
54,Kids of the Round Table (1995),"['Adventure', ""Children's"", 'Fantasy']",124057
55,Home for the Holidays (1995),['Drama'],9089
56,"Postino, Il (The Postman) (1994)","['Drama', 'Romance']",11010
57,"Confessional, The (Le Confessionnal) (1995)","['Drama', 'Mystery']",99040
58,"Indian in the Cupboard, The (1995)","['Adventure', ""Children's"", 'Fantasy']",11359
59,Eye for an Eye (1996),"['Drama', 'Thriller']",17182
60,Mr. Holland's Opus (1995),['Drama'],2054
61,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy'],10607
62,Two if by Sea (1996),"['Comedy', 'Romance']",19760
63,Bio-Dome (1996),['Comedy'],9536
64,Lawnmower Man 2: Beyond Cyberspace (1996),"['Sci-Fi', 'Thriller']",11525
65,Two Bits (1995),['Drama'],40628
66,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",4482
67,Friday (1995),['Comedy'],10634
68,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']",755
69,Fair Game (1995),['Action'],11859
70,Kicking and Screaming (1995),"['Comedy', 'Drama']",28387
71,"Misérables, Les (1995)","['Drama', 'Musical']",48750
72,Bed of Roses (1996),"['Drama', 'Romance']",20927
73,Big Bully (1996),"['Comedy', 'Drama']",36929
74,Screamers (1995),"['Sci-Fi', 'Thriller']",9102
75,Nico Icon (1995),['Documentary'],124626
76,"Crossing Guard, The (1995)",['Drama'],27526
77,"Juror, The (1996)","['Drama', 'Thriller']",9623
78,"White Balloon, The (Badkonake Sefid ) (1995)",['Drama'],46785
79,Things to Do in Denver when You're Dead (1995),"['Crime', 'Drama', 'Romance']",400
80,Antonia's Line (Antonia) (1995),['Drama'],880
81,Once Upon a Time... When We Were Colored (1995),['Drama'],146599
82,Last Summer in the Hamptons (1995),"['Comedy', 'Drama']",188588
83,Angels and Insects (1995),"['Drama', 'Romance']",8447
84,White Squall (1996),"['Adventure', 'Drama']",10534
85,Dunston Checks In (1996),"[""Children's"", 'Comedy']",17414
86,Black Sheep (1996),['Comedy'],13997
87,Nick of Time (1995),"['Action', 'Thriller']",2086
88,"Journey of August King, The (1995)",['Drama'],61548
89,Mary Reilly (1996),"['Drama', 'Thriller']",9095
90,Vampire in Brooklyn (1995),"['Comedy', 'Romance']",12158
91,Beautiful Girls (1996),['Drama'],9283
92,Broken Arrow (1996),"['Action', 'Thriller']",9208
93,In the Bleak Midwinter (1995),['Comedy'],40154
94,"Hate (Haine, La) (1995)",['Drama'],406
95,Shopping (1994),"['Action', 'Thriller']",45549
96,Heidi Fleiss: Hollywood Madam (1995),['Documentary'],63076
97,City Hall (1996),"['Drama', 'Thriller']",11062
98,Bottle Rocket (1996),['Comedy'],13685
99,Mr. Wrong (1996),['Comedy'],47475
100,Unforgettable (1996),['Thriller'],2045
101,Happy Gilmore (1996),['Comedy'],9614
102,"Bridges of Madison County, The (1995)","['Drama', 'Romance']",688
103,Nobody Loves Me (Keiner liebt mich) (1994),"['Comedy', 'Drama']",11907
104,Muppet Treasure Island (1996),"['Adventure', ""Children's"", 'Comedy', 'Musical']",10874
105,Catwalk (1995),['Documentary'],89333
106,Braveheart (1995),"['Action', 'Drama', 'War']",197
107,Taxi Driver (1976),"['Drama', 'Thriller']",103
108,Rumble in the Bronx (1995),"['Action', 'Adventure', 'Crime']",33542
109,Before and After (1996),"['Drama', 'Mystery']",43566
110,Margaret's Museum (1995),['Drama'],71754
111,Anne Frank Remembered (1995),['Documentary'],51352
112,"Young Poisoner's Handbook, The (1995)",['Crime'],16934
113,If Lucy Fell (1996),"['Comedy', 'Romance']",10324
114,"Steal Big, Steal Little (1995)",['Comedy'],78406
115,Race the Sun (1996),['Drama'],55731
116,"Boys of St. Vincent, The (1993)",['Drama'],32119
117,Boomerang (1992),"['Comedy', 'Romance']",11066
118,Chungking Express (1994),"['Drama', 'Mystery', 'Romance']",11104
119,"Star Maker, The (Uomo delle stelle, L') (1995)",['Drama'],37975
120,Flirting With Disaster (1996),['Comedy'],2074
121,"NeverEnding Story III, The (1994)","['Adventure', ""Children's"", 'Fantasy']",27793
122,"Silence of the Palace, The (Saimt el Qusur) (1994)",['Drama'],44284
123,Jupiter's Wife (1994),['Documentary'],290157
124,Pie in the Sky (1995),"['Comedy', 'Romance']",110972
125,Angela (1995),['Drama'],32622
126,Frankie Starlight (1995),"['Drama', 'Romance']",73067
127,Jade (1995),['Thriller'],11863
128,Nueba Yol (1995),"['Comedy', 'Drama']",55475
129,Sonic Outlaws (1995),['Documentary'],124636
130,Down Periscope (1996),['Comedy'],9101
131,From the Journals of Jean Seberg (1995),['Documentary'],123360
132,Man of the Year (1995),['Documentary'],5757
133,"Neon Bible, The (1995)",['Drama'],39428
134,Target (1995),"['Action', 'Drama']",124639
135,Up Close and Personal (1996),"['Drama', 'Romance']",9302
136,"Birdcage, The (1996)",['Comedy'],11000
137,Shadows (Cienie) (1988),['Drama'],525153
138,"Brothers McMullen, The (1995)",['Comedy'],16388
139,Bad Boys (1995),['Action'],9737
140,"Amazing Panda Adventure, The (1995)","['Adventure', ""Children's""]",30765
141,"Basketball Diaries, The (1995)",['Drama'],10474
142,"Awfully Big Adventure, An (1995)",['Drama'],22279
143,Amateur (1994),"['Crime', 'Drama', 'Thriller']",30157
144,Apollo 13 (1995),['Drama'],568
145,Rob Roy (1995),"['Drama', 'Romance', 'War']",11780
146,"Addiction, The (1995)",['Horror'],34996
147,Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']",414
148,Belle de jour (1967),['Drama'],649
149,Beyond Rangoon (1995),"['Drama', 'War']",1873
150,Blue in the Face (1995),['Comedy'],5894
151,Canadian Bacon (1994),"['Comedy', 'War']",1775
152,Casper (1995),"['Adventure', ""Children's""]",8839
153,Clockers (1995),['Drama'],20649
154,Congo (1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",10329
155,Crimson Tide (1995),"['Drama', 'Thriller', 'War']",8963
156,Crumb (1994),['Documentary'],26564
157,Desperado (1995),"['Action', 'Romance', 'Thriller']",8068
158,Devil in a Blue Dress (1995),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",8512
159,Die Hard: With a Vengeance (1995),"['Action', 'Thriller']",1572
160,"Doom Generation, The (1995)","['Comedy', 'Drama']",13552
161,Feast of July (1995),['Drama'],259209
162,First Knight (1995),"['Action', 'Adventure', 'Drama', 'Romance']",6520
163,Free Willy 2: The Adventure Home (1995),"['Adventure', ""Children's"", 'Drama']",9073
164,Hackers (1995),"['Action', 'Crime', 'Thriller']",10428
165,Jeffrey (1995),['Comedy'],17447
166,Johnny Mnemonic (1995),"['Action', 'Sci-Fi', 'Thriller']",9886
167,Judge Dredd (1995),"['Action', 'Adventure', 'Sci-Fi']",9482
168,Jury Duty (1995),['Comedy'],19326
169,Kids (1995),['Drama'],9344
170,Living in Oblivion (1995),['Comedy'],9071
171,Lord of Illusions (1995),['Horror'],8973
172,Love & Human Remains (1993),['Comedy'],15730
173,Mad Love (1995),"['Drama', 'Romance']",47608
174,Mallrats (1995),['Comedy'],2293
175,Mighty Morphin Power Rangers: The Movie (1995),"['Action', ""Children's""]",9070
176,Moonlight and Valentino (1995),"['Drama', 'Romance']",68274
177,Mute Witness (1994),['Thriller'],48787
178,Nadja (1994),['Drama'],34574
179,"Net, The (1995)","['Sci-Fi', 'Thriller']",1642
180,Nine Months (1995),['Comedy'],11472
181,Party Girl (1995),['Comedy'],36196
182,"Prophecy, The (1995)",['Horror'],11980
183,Reckless (1995),['Comedy'],58372
184,Safe (1995),['Thriller'],32646
185,"Scarlet Letter, The (1995)",['Drama'],10533
186,"Show, The (1995)",['Documentary'],56088
187,Showgirls (1995),['Drama'],10802
188,Smoke (1995),['Drama'],10149
189,Something to Talk About (1995),"['Comedy', 'Drama', 'Romance']",18402
190,Species (1995),"['Horror', 'Sci-Fi']",9348
191,"Stars Fell on Henrietta, The (1995)",['Drama'],139408
192,Strange Days (1995),"['Action', 'Crime', 'Sci-Fi']",281
193,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","['Drama', 'Musical']",5967
194,"Tie That Binds, The (1995)",['Thriller'],79593
195,Three Wishes (1995),['Drama'],47939
196,Total Eclipse (1995),"['Drama', 'Romance']",36834
197,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Comedy'],9090
198,Under Siege 2: Dark Territory (1995),['Action'],3512
199,Unstrung Heroes (1995),"['Comedy', 'Drama']",52856
200,Unzipped (1995),['Documentary'],77350
201,"Walk in the Clouds, A (1995)","['Drama', 'Romance']",9560
202,Waterworld (1995),"['Action', 'Adventure']",9804
203,White Man's Burden (1995),['Drama'],31611
204,Wild Bill (1995),['Western'],65796
205,"Browning Version, The (1994)",['Drama'],49805
206,Bushwhacked (1995),['Comedy'],26258
207,Burnt By the Sun (Utomlyonnye solntsem) (1994),['Drama'],50797
208,Before the Rain (Pred dozhdot) (1994),['Drama'],19155
209,Before Sunrise (1995),"['Drama', 'Romance']",76
210,Billy Madison (1995),['Comedy'],11017
211,"Babysitter, The (1995)","['Drama', 'Thriller']",37141
212,Boys on the Side (1995),"['Comedy', 'Drama']",9382
213,"Cure, The (1995)",['Drama'],6715
214,Castle Freak (1995),['Horror'],18256
215,Circle of Friends (1995),"['Drama', 'Romance']",22625
216,Clerks (1994),['Comedy'],2292
217,Don Juan DeMarco (1995),"['Comedy', 'Drama', 'Romance']",1909
218,Disclosure (1994),"['Drama', 'Thriller']",8984
219,Dream Man (1995),['Thriller'],61813
220,Drop Zone (1994),['Action'],4954
221,Destiny Turns on the Radio (1995),['Comedy'],62488
222,Death and the Maiden (1994),"['Drama', 'Thriller']",10531
223,Dolores Claiborne (1994),"['Drama', 'Thriller']",11929
224,Dumb & Dumber (1994),['Comedy'],8467
225,Eat Drink Man Woman (1994),"['Comedy', 'Drama']",10451
226,Exotica (1994),['Drama'],20156
227,Exit to Eden (1994),['Comedy'],18395
228,Ed Wood (1994),"['Comedy', 'Drama']",522
229,French Kiss (1995),"['Comedy', 'Romance']",397
230,Forget Paris (1995),"['Comedy', 'Romance']",10525
231,Far From Home: The Adventures of Yellow Dog (1995),"['Adventure', ""Children's""]",27985
232,"Goofy Movie, A (1995)","['Animation', ""Children's"", 'Comedy', 'Romance']",15789
233,Hideaway (1995),['Thriller'],27303
234,Fluke (1995),"[""Children's"", 'Drama']",21183
235,Farinelli: il castrato (1994),"['Drama', 'Musical']",10954
236,Gordy (1995),['Comedy'],47867
237,Gumby: The Movie (1995),"['Animation', ""Children's""]",43475
238,"Glass Shield, The (1994)","['Crime', 'Drama']",72031
239,Hoop Dreams (1994),['Documentary'],14275
240,Heavenly Creatures (1994),"['Drama', 'Fantasy', 'Romance', 'Thriller']",1024
241,Houseguest (1994),['Comedy'],17207
242,Immortal Beloved (1994),"['Drama', 'Romance']",13701
243,Heavyweights (1994),"[""Children's"", 'Comedy']",14819
244,"Hunted, The (1995)",['Action'],32631
245,I.Q. (1994),"['Comedy', 'Romance']",11777
246,Interview with the Vampire (1994),"['Drama', 'Horror']",628
247,Jefferson in Paris (1995),['Drama'],87729
248,"Jerky Boys, The (1994)",['Comedy'],18713
249,Junior (1994),"['Comedy', 'Sci-Fi']",6280
250,Just Cause (1995),"['Mystery', 'Thriller']",9061
251,"Kid in King Arthur's Court, A (1995)","['Adventure', ""Children's"", 'Comedy', 'Fantasy', 'Romance']",37108
252,Kiss of Death (1995),"['Crime', 'Drama', 'Thriller']",6071
253,Star Wars: Episode IV - A New Hope (1977),"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",11
254,Little Women (1994),['Drama'],9587
255,"Little Princess, A (1995)","[""Children's"", 'Drama']",19101
256,Ladybird Ladybird (1994),['Drama'],49980
257,"Enfer, L' (1994)",['Drama'],17961
258,Like Water for Chocolate (Como agua para chocolate) (1992),"['Drama', 'Romance']",18183
259,Legends of the Fall (1994),"['Drama', 'Romance', 'War', 'Western']",4476
260,Major Payne (1994),['Comedy'],11008
261,Little Odessa (1994),['Drama'],47504
262,My Crazy Life (Mi vida loca) (1993),['Drama'],32325
263,Love Affair (1994),"['Drama', 'Romance']",43742
264,Losing Isaiah (1995),['Drama'],28313
265,"Madness of King George, The (1994)",['Drama'],11318
266,Mary Shelley's Frankenstein (1994),"['Drama', 'Horror']",3036
267,Man of the House (1995),['Comedy'],40490
268,Mixed Nuts (1994),['Comedy'],24070
269,Milk Money (1994),"['Comedy', 'Romance']",8986
270,Miracle on 34th Street (1994),['Drama'],10510
271,Miami Rhapsody (1995),['Comedy'],17402
272,My Family (1995),['Drama'],38722
273,Murder in the First (1995),"['Drama', 'Thriller']",8438
274,Nobody's Fool (1994),['Drama'],11593
275,Nell (1994),['Drama'],1945
276,New Jersey Drive (1995),"['Crime', 'Drama']",39310
277,Nemesis 2: Nebula (1995),"['Action', 'Sci-Fi', 'Thriller']",63105
278,Nina Takes a Lover (1994),"['Comedy', 'Romance']",131957
279,Natural Born Killers (1994),"['Action', 'Thriller']",241
280,Only You (1994),"['Comedy', 'Romance']",9058
281,Once Were Warriors (1994),"['Crime', 'Drama']",527
282,Poison Ivy II (1995),['Thriller'],18220
283,Outbreak (1995),"['Action', 'Drama', 'Thriller']",6950
284,"Professional, The (a.k.a. Leon: The Professional) (1994)","['Crime', 'Drama', 'Romance', 'Thriller']",101
285,"Perez Family, The (1995)","['Comedy', 'Romance']",63020
286,"Pyromaniac's Love Story, A (1995)","['Comedy', 'Romance']",2307
287,Pulp Fiction (1994),"['Crime', 'Drama']",680
288,Panther (1995),['Drama'],41478
289,Pushing Hands (1992),['Comedy'],25296
290,Priest (1994),['Drama'],40156
291,Quiz Show (1994),['Drama'],11450
292,Picture Bride (1995),"['Drama', 'Romance']",30304
293,Queen Margot (La Reine Margot) (1994),"['Drama', 'Romance']",10452
294,"Quick and the Dead, The (1995)","['Action', 'Adventure', 'Western']",12106
295,Roommates (1995),"['Comedy', 'Drama']",161495
296,Ready to Wear (Pret-A-Porter) (1994),['Comedy'],3586
297,Three Colors: Red (1994),['Drama'],110
298,Three Colors: Blue (1993),['Drama'],108
299,Three Colors: White (1994),['Drama'],109
300,"Red Firecracker, Green Firecracker (1994)",['Drama'],159185
301,Rent-a-Kid (1995),['Comedy'],36357
302,Relative Fear (1994),"['Horror', 'Thriller']",92769
303,Stuart Saves His Family (1995),['Comedy'],28033
304,"Swan Princess, The (1994)","['Animation', ""Children's""]",22586
305,"Secret of Roan Inish, The (1994)",['Drama'],14334
306,"Specialist, The (1994)",['Action'],2636
307,Stargate (1994),"['Action', 'Adventure', 'Sci-Fi']",2164
308,"Santa Clause, The (1994)","[""Children's"", 'Comedy', 'Fantasy']",11395
309,"Shawshank Redemption, The (1994)",['Drama'],278
310,Shallow Grave (1994),['Thriller'],9905
311,Suture (1993),"['Film-Noir', 'Thriller']",87078
312,Strawberry and Chocolate (Fresa y chocolate) (1993),['Drama'],12527
313,Swimming with Sharks (1995),"['Comedy', 'Drama']",20306
314,"Sum of Us, The (1994)",['Comedy'],36614
315,National Lampoon's Senior Trip (1995),['Comedy'],27993
316,To Live (Huozhe) (1994),['Drama'],31439
317,Tank Girl (1995),"['Action', 'Comedy', 'Musical', 'Sci-Fi']",9067
318,Tales From the Crypt Presents: Demon Knight (1995),['Horror'],9059
319,Star Trek: Generations (1994),"['Action', 'Adventure', 'Sci-Fi']",193
320,Tales from the Hood (1995),"['Comedy', 'Horror']",25066
321,Tom & Viv (1994),['Drama'],46797
322,Village of the Damned (1995),"['Horror', 'Sci-Fi']",12122
323,Tommy Boy (1995),['Comedy'],11381
324,Vanya on 42nd Street (1994),['Drama'],32636
325,"Underneath, The (1995)","['Mystery', 'Thriller']",36141
326,"Walking Dead, The (1995)","['Drama', 'War']",95963
327,What's Eating Gilbert Grape (1993),['Drama'],1587
328,Virtuosity (1995),"['Sci-Fi', 'Thriller']",9271
329,While You Were Sleeping (1995),"['Comedy', 'Romance']",2064
330,"War, The (1994)","['Adventure', 'Drama']",19855
331,Double Happiness (1994),['Drama'],60855
332,Muriel's Wedding (1994),"['Comedy', 'Romance']",236
333,"Baby-Sitters Club, The (1995)","[""Children's""]",48287
334,Ace Ventura: Pet Detective (1994),['Comedy'],3049
335,"Adventures of Priscilla, Queen of the Desert, The (1994)","['Comedy', 'Drama']",2759
336,Backbeat (1993),"['Drama', 'Musical']",12635
337,Bitter Moon (1992),['Drama'],10497
338,Bullets Over Broadway (1994),['Comedy'],11382
339,Clear and Present Danger (1994),"['Action', 'Adventure', 'Thriller']",9331
340,"Client, The (1994)","['Drama', 'Mystery', 'Thriller']",10731
341,"Corrina, Corrina (1994)","['Comedy', 'Drama', 'Romance']",10464
342,Crooklyn (1994),['Comedy'],34152
343,"Crow, The (1994)","['Action', 'Romance', 'Thriller']",9495
344,Cobb (1994),['Drama'],29973
345,"Flintstones, The (1994)","[""Children's"", 'Comedy']",888
346,Forrest Gump (1994),"['Comedy', 'Romance', 'War']",13
347,Four Weddings and a Funeral (1994),"['Comedy', 'Romance']",712
348,Higher Learning (1995),['Drama'],16295
349,I Like It Like That (1994),"['Comedy', 'Drama', 'Romance']",48992
350,I Love Trouble (1994),"['Action', 'Comedy']",10879
351,It Could Happen to You (1994),"['Drama', 'Romance']",10660
352,"Jungle Book, The (1994)","['Adventure', ""Children's"", 'Romance']",10714
353,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",['Documentary'],41647
354,"Lion King, The (1994)","['Animation', ""Children's"", 'Musical']",8587
355,Little Buddha (1993),['Drama'],1689
356,Wes Craven's New Nightmare (1994),['Horror'],11596
357,"Mask, The (1994)","['Comedy', 'Crime', 'Fantasy']",854
358,Maverick (1994),"['Action', 'Comedy', 'Western']",9359
359,Mrs. Parker and the Vicious Circle (1994),['Drama'],23333
360,Naked Gun 33 1/3: The Final Insult (1994),['Comedy'],36593
361,"Paper, The (1994)","['Comedy', 'Drama']",12280
362,Reality Bites (1994),"['Comedy', 'Drama']",2788
363,Red Rock West (1992),['Thriller'],10427
364,Richie Rich (1994),"[""Children's"", 'Comedy']",11011
365,Safe Passage (1994),['Drama'],49803
366,"River Wild, The (1994)","['Action', 'Thriller']",8987
367,Speed (1994),"['Action', 'Romance', 'Thriller']",1637
368,Speechless (1994),"['Comedy', 'Romance']",15128
369,Timecop (1994),"['Action', 'Sci-Fi']",8831
370,True Lies (1994),"['Action', 'Adventure', 'Comedy', 'Romance']",36955
371,When a Man Loves a Woman (1994),['Drama'],10449
372,Wolf (1994),"['Drama', 'Horror']",10395
373,Wyatt Earp (1994),['Western'],12160
374,Bad Company (1995),['Action'],40480
375,"Man of No Importance, A (1994)",['Drama'],52038
376,S.F.W. (1994),['Drama'],29444
377,"Low Down Dirty Shame, A (1994)","['Action', 'Comedy']",26352
378,Boys Life (1995),['Drama'],39953
379,"Colonel Chabert, Le (1994)","['Drama', 'Romance', 'War']",41580
380,Faster Pussycat! Kill! Kill! (1965),"['Action', 'Comedy', 'Drama']",315
381,Jason's Lyric (1994),"['Crime', 'Drama']",22067
382,"Secret Adventures of Tom Thumb, The (1993)","['Adventure', ""Children's""]",18242
383,Street Fighter (1994),['Action'],11667
384,Coldblooded (1995),['Action'],32502
385,Fall Time (1995),['Drama'],28732
386,"Fear, The (1995)",['Horror'],75555
387,Frank and Ollie (1995),['Documentary'],42981
388,Mirage (1995),"['Action', 'Thriller']",226229
389,Open Season (1996),['Comedy'],203119
390,Brother Minister: The Assassination of Malcolm X (1994),['Documentary'],316098
391,Highlander III: The Sorcerer (1994),"['Action', 'Sci-Fi']",8011
392,Federal Hill (1994),['Drama'],171857
393,In the Mouth of Madness (1995),"['Horror', 'Thriller']",2654
394,8 Seconds (1994),['Drama'],18069
395,Above the Rim (1994),['Drama'],19092
396,Addams Family Values (1993),['Comedy'],2758
397,You So Crazy (1994),['Comedy'],38129
398,"Age of Innocence, The (1993)",['Drama'],10436
399,Airheads (1994),['Comedy'],13595
400,"Air Up There, The (1994)",['Comedy'],46094
401,Another Stakeout (1993),"['Comedy', 'Thriller']",9409
402,Bad Girls (1994),['Western'],11853
403,Barcelona (1994),"['Comedy', 'Romance']",16771
404,Being Human (1993),['Drama'],46924
405,"Beverly Hillbillies, The (1993)",['Comedy'],11041
406,Beverly Hills Cop III (1994),"['Action', 'Comedy']",306
407,Black Beauty (1994),"['Adventure', ""Children's""]",14522
408,Blink (1994),['Thriller'],26203
409,Blown Away (1994),"['Action', 'Thriller']",178
410,Blue Chips (1994),['Drama'],19819
411,Blue Sky (1994),"['Drama', 'Romance']",57834
412,Body Snatchers (1993),"['Horror', 'Sci-Fi', 'Thriller']",4722
413,Boxing Helena (1993),"['Mystery', 'Romance', 'Thriller']",18215
414,"Bronx Tale, A (1993)",['Drama'],1607
415,Cabin Boy (1994),['Comedy'],26391
416,Calendar Girl (1993),['Drama'],117553
417,Carlito's Way (1993),"['Crime', 'Drama']",6075
418,City Slickers II: The Legend of Curly's Gold (1994),"['Comedy', 'Western']",11310
419,Clean Slate (1994),['Comedy'],18658
420,Cliffhanger (1993),"['Action', 'Adventure', 'Crime']",9350
421,Coneheads (1993),"['Comedy', 'Sci-Fi']",9612
422,Color of Night (1994),"['Drama', 'Thriller']",2124
423,Cops and Robbersons (1994),['Comedy'],26261
424,"Cowboy Way, The (1994)","['Action', 'Comedy']",19176
425,Dangerous Game (1993),['Drama'],49299
426,Dave (1993),"['Comedy', 'Romance']",11566
427,Dazed and Confused (1993),['Comedy'],9571
428,Demolition Man (1993),"['Action', 'Sci-Fi']",9739
429,"Endless Summer 2, The (1994)",['Documentary'],24257
430,Even Cowgirls Get the Blues (1993),"['Comedy', 'Romance']",34444
431,Fatal Instinct (1993),['Comedy'],26141
432,Farewell My Concubine (1993),"['Drama', 'Romance']",10997
433,"Favor, The (1994)","['Comedy', 'Romance']",50463
434,Fearless (1993),['Drama'],10443
435,Fear of a Black Hat (1993),['Comedy'],20239
436,With Honors (1994),"['Comedy', 'Drama']",16297
437,Flesh and Bone (1993),"['Drama', 'Mystery', 'Romance']",18551
438,Widows' Peak (1994),['Drama'],25440
439,For Love or Money (1993),['Comedy'],9024
440,"Firm, The (1993)","['Drama', 'Thriller']",37233
441,Free Willy (1993),"['Adventure', ""Children's"", 'Drama']",1634
442,Fresh (1994),['Drama'],13815
443,"Fugitive, The (1993)","['Action', 'Thriller']",5503
444,Geronimo: An American Legend (1993),"['Drama', 'Western']",35588
445,"Getaway, The (1994)",['Action'],2087
446,Getting Even with Dad (1994),['Comedy'],41579
447,Go Fish (1994),"['Drama', 'Romance']",18620
448,"Good Man in Africa, A (1994)","['Action', 'Adventure']",41006
449,Guilty as Sin (1993),"['Crime', 'Drama', 'Thriller']",4916
450,Hard Target (1993),"['Action', 'Adventure', 'Crime', 'Thriller']",2019
451,Heaven & Earth (1993),"['Action', 'Drama', 'War']",31642
452,Hot Shots! Part Deux (1993),"['Action', 'Comedy', 'War']",9255
453,Live Nude Girls (1995),['Comedy'],26271
454,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","['Comedy', 'Romance']",10612
455,"House of the Spirits, The (1993)","['Drama', 'Romance']",2259
456,House Party 3 (1994),['Comedy'],16097
457,"Hudsucker Proxy, The (1994)","['Comedy', 'Romance']",11934
458,I'll Do Anything (1994),"['Comedy', 'Drama']",106143
459,In the Army Now (1994),"['Comedy', 'War']",12475
460,In the Line of Fire (1993),"['Action', 'Thriller']",9386
461,In the Name of the Father (1993),['Drama'],7984
462,"Inkwell, The (1994)","['Comedy', 'Drama']",59930
463,What's Love Got to Do with It? (1993),['Drama'],15765
464,Jimmy Hollywood (1994),['Comedy'],31643
465,Judgment Night (1993),['Action'],6
466,Jurassic Park (1993),"['Action', 'Adventure', 'Sci-Fi']",329
467,Kalifornia (1993),"['Drama', 'Thriller']",10909
468,Killing Zoe (1994),['Thriller'],507
469,King of the Hill (1993),['Drama'],34024
470,Lassie (1994),"['Adventure', ""Children's""]",29918
471,Last Action Hero (1993),"['Action', 'Comedy']",9593
472,Life with Mikey (1993),['Comedy'],42580
473,Lightning Jack (1994),"['Comedy', 'Western']",22317
474,M. Butterfly (1993),['Drama'],1413
475,Made in America (1993),['Comedy'],12121
476,Malice (1993),['Thriller'],2246
477,"Man Without a Face, The (1993)",['Drama'],10502
478,Manhattan Murder Mystery (1993),"['Comedy', 'Mystery']",10440
479,Menace II Society (1993),"['Action', 'Crime', 'Drama']",9516
480,Executive Decision (1996),"['Action', 'Thriller']",2320
481,In the Realm of the Senses (Ai no corrida) (1976),['Drama'],5879
482,What Happened Was... (1994),"['Comedy', 'Drama', 'Romance']",83718
